id,label
wd:Q3176091,Jeanne Laurent
wd:Q3387719,Pierre de Vaissière
wd:Q2845613,Anatole de Montaiglon
wd:Q28728353,François Burckard
wd:Q27535600,Suzanne d'Huart
wd:Q3086627,Françoise Waquet
wd:Q289303,Étienne Arago
wd:Q38151825,Yves Soulingeas
wd:Q2854063,Antoine Héron de Villefosse
wd:Q1749718,Anatole de Barthélemy
wd:Q450310,Jean-Louis Tauran
wd:Q18115478,Lucien Merlet
wd:Q1960293,Émile Campardon
wd:Q2831331,Albert Lecoy de La Marche
wd:Q30332130,Jean de La Monneraye
wd:Q664914,Jacques Monfrin
wd:Q2356118,Robert Fossier
wd:Q3011800,Valérie Mangin
wd:Q8299181,Adrien Planchenault
wd:Q19754068,Paul Vitry
wd:Q3089925,Frédéric Joüon des Longrais
wd:Q35244817,Yvonne Bezard
wd:Q36483293,Henri Hemmer
wd:Q3153988,Inès Villela-Petit
wd:Q3106601,Gilles Éboli
wd:Q2920822,Pierre-François Hugues d'Hancarville
wd:Q36460721,Léon de Groër
wd:Q2871321,Auguste Molinier
wd:Q23607567,Jacques Pierre Coru-Sarthe
wd:Q28563882,Amable de Sablon du Corail
wd:Q3370861,Paul Chevreux
wd:Q16038597,Raphaële Mouren
wd:Q2897484,Bernard Barbiche
wd:Q634282,Louis Halphen
wd:Q2960683,Charles de Robillard de Beaurepaire
wd:Q3588522,Émile Gabory
wd:Q11906129,Vladimír Klecanda
wd:Q2934867,Camille Bloch
wd:Q3291511,Marie-Anne Chabin
wd:Q25712297,Michelle Bubenicek
wd:Q20556667,Cécile Pozzo di Borgo
wd:Q2848722,André Tubeuf
wd:Q16260396,René de La Coste-Messelière
wd:Q2860432,Archives de Paris
wd:Q3168067,Jean-Michel Leniaud
wd:Q3309525,Michel Duchein
wd:Q3385482,Pierre Héliot
wd:Q2994440,Conservateur du Patrimoin
wd:Q34007588,Dominique-Claude Boisserand
wd:Q1879402,Léon Clédat
wd:Q2960618,Charles de Lasteyrie
wd:Q272189,Régine Pernoud
wd:Q2871430,Auguste Vallet de Viriville
wd:Q3293111,Étienne Charavay
wd:Q3419136,Raoul Busquet
wd:Q3132261,Henri de Flamare
wd:Q2899549,Bertrand Gille
wd:Q3173334,Jean Mallon
wd:Q35026461,Raymond Houdayer
wd:Q2958509,Charles Beauquier
wd:Q221775,Norbert Dufourcq
wd:Q3157801,Jacqueline Sanson
wd:Q3426379,René Héron de Villefosse
wd:Q3103225,Georges Monval
wd:Q3420767,Raymond Collier
wd:Q3340860,Nicolas Viton de Saint-Allais
wd:Q3170182,Jean-Yves Mariotte
wd:Q36484267,Monique Langlois
wd:Q18115456,François-César Louandre
wd:Q3121538,Guy Beaujouan
wd:Q18115496,André de Maricourt
wd:Q18578072,Louis Blancard
wd:Q15969998,Germain Lefèvre-Pontalis
wd:Q3261425,Louis Carolus-Barré
wd:Q15940746,Émile Alglave
wd:Q3175110,Jean Wirth
wd:Q3084576,François Eygun
wd:Q15407867,Barthélemy-Amédée Pocquet du Haut-Jussé
wd:Q3175983,Jeanne Bignami-Odier
wd:Q3130727,Henri Bourde de La Rogerie
wd:Q3309670,Michel François
wd:Q3384053,Pierre Boisard
wd:Q18600895,Louis Schneegans
wd:Q286485,Léon Gautier
wd:Q3189524,Julien Havet
wd:Q3384295,Pierre Caron
wd:Q3588664,Émile Molinier
wd:Q19606616,Françoise Banat-Berger
wd:Q1219531,Pierre Aubry
wd:Q3013726,Daniel Bernard
wd:Q2399285,Georges de Manteyer
wd:Q447581,Marcel Aubert
wd:Q922350,Henri-Jean Martin
