id	label	relation	in	label_relation	label_in
wd:Q2960047	Charles Portal	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2960185	Charles Samaran	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2960585	Charles de Grandmaison	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2960618	Charles de Lasteyrie	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2960683	Charles de Robillard de Beaurepaire	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2965963	Christine Nougaret	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2977199	Claude Cochin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2977325	Claude Dulong	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3000448	Paul Durrieu	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3010095	Célestin Port	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3011800	Valérie Mangin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3013642	Daniel Alcouffe	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3013726	Daniel Bernard	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3014988	Danielle Elisseeff	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3014992	Danielle Gaborit-Chopin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3023010	Denise Bernot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3023045	Denise Humbert	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3027140	Didier Ozanam	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3034329	Dom Gréa	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3035511	Dominique Varry	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3047520	Edgard Boutaric	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3047719	Edmond-René Labande	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3056803	Joseph Tardif	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3056833	Ernest Babelon	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3056903	Ernest Coyecque	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
